participant,min_train_loss,min_train_mae,init_src_content_0,trained_src_content_0,init_att_src_edge_0,trained_att_src_edge_0,init_src_edge_0,trained_src_edge_0,init_full_src_edge_0,trained_full_src_edge_0,init_dst_content_0,trained_dst_content_0,init_att_dst_edge_0,trained_att_dst_edge_0,init_dst_edge_0,trained_dst_edge_0,init_full_dst_edge_0,trained_full_dst_edge_0,init_att_edge_0,trained_att_edge_0,init_edge_0,trained_edge_0,init_full_edge_0,trained_full_edge_0,init_bias_0,trained_bias_0
1,0.00021540043,0.012987694,-0.7917563915252686,-58.01543045043945,-0.11698052287101746,-0.11698052287101746,,,,,,,-0.971131443977356,-0.971131443977356,,,,,-0.8258198499679565,-1.094132423400879,0.7048163414001465,0.15688316524028778,-0.582051325310033,-0.1716509577751566,0.0,20.767927169799805
2,0.023635454,0.113432236,0.47628068923950195,-49.14036560058594,1.0485440492630005,1.0485440492630005,,,,,,,-0.9022582769393921,-0.9022582769393921,,,,,-0.24369558691978455,-0.011403916403651237,1.221985936164856,3.696826934814453,-0.29779257992141694,-0.042158305323390266,0.0,54.22340393066406
3,0.0053532813,0.061383806,0.3336282968521118,-53.7874870300293,-0.5388449430465698,-0.5388449430465698,,,,,,,-0.9620885848999023,-0.9620885848999023,,,,,-1.216566801071167,-0.016193045303225517,0.23406057059764862,0.013175920583307743,-0.2847503196288734,-0.00021335827891720387,0.0,43.86418151855469
4,6.242178e-06,0.002135921,0.10286248475313187,-58.84383773803711,0.4441252648830414,0.4441252648830414,,,,,,,1.6326688528060913,1.6326688528060913,,,,,-1.4930580854415894,-0.06772855669260025,1.5436450242996216,0.5619676113128662,-2.3047516845822287,-0.0380612552222086,0.0,-17.771221160888672
5,0.955201,0.8806198,0.1839788556098938,1.8942621946334839,0.5672047138214111,0.5672047138214111,,,,,,,-1.004323959350586,-1.004323959350586,,,,,1.6434874534606934,3.799816370010376,0.34250617027282715,2.3743557929992676,0.5629045935762633,9.022116010467585,0.0,0.19615444540977478
6,0.27333203,0.40926048,-1.4198065996170044,-13.334202766418457,-0.3137440085411072,-0.3137440085411072,,,,,,,-1.618464708328247,-1.618464708328247,,,,,1.5014617443084717,-2.76430606842041,1.6453434228897095,2.9554903507232666,2.4704202057184546,-8.169879911662292,0.0,15.667505264282227
7,0.5547984,0.5809254,0.8872931003570557,0.8575981855392456,1.4240328073501587,1.4240328073501587,,,,,,,0.451043039560318,0.451043039560318,,,,,1.0921962261199951,5.610616207122803,-0.7139748334884644,4.882239818572998,-0.7798006186807527,27.392373853145955,0.0,-0.030517077073454857
8,5.910612e-06,0.002187661,0.7014123797416687,-58.871097564697266,-1.5374757051467896,-1.5374757051467896,,,,,,,1.4537383317947388,1.4537383317947388,,,,,-0.46806105971336365,-0.01848037727177143,-0.25193360447883606,0.0021706281695514917,0.11792030988977142,-4.011402749004621e-05,0.0,1.6903237104415894
9,0.5791447,0.6152108,1.5736674070358276,1.2202593088150024,0.9149128198623657,0.9149128198623657,,,,,,,0.640737771987915,0.640737771987915,,,,,0.10652186721563339,2.3372814655303955,1.2671539783477783,3.9462406635284424,0.13497960782332363,9.223475161387398,0.0,0.03566954657435417
10,6.5554696e-06,0.00223236,-1.0427865982055664,-58.86339569091797,-1.4392495155334473,-1.4392495155334473,,,,,,,0.3934544622898102,0.3934544622898102,,,,,-1.0691558122634888,0.12950722873210907,-1.0724352598190308,-0.13655425608158112,1.1466003913118215,-0.01768476327670032,0.0,7.093055725097656
11,0.7577291,0.7314772,0.9200398325920105,1.2088664770126343,0.2823124825954437,0.2823124825954437,,,,,,,0.6308523416519165,0.6308523416519165,,,,,-1.100699782371521,-3.431758403778076,-0.5747542977333069,-2.779444456100464,0.6326319304321473,9.538381870057151,0.0,0.10313698649406433
12,6.270377e-06,0.0021689695,-1.4681150913238525,-58.84186553955078,-1.0626168251037598,-1.0626168251037598,,,,,,,1.2481873035430908,1.2481873035430908,,,,,1.2831835746765137,0.0001537883363198489,-1.176252841949463,-0.01003187894821167,-1.50934832645612,-1.5427859736075883e-06,0.0,0.9654629826545715
13,1.0900501,0.87366873,1.6642835140228271,0.9677160382270813,-0.2515561580657959,-0.2515561580657959,,,,,,,-0.9667033553123474,-0.9667033553123474,,,,,-1.3804726600646973,-3.6705050468444824,1.1503766775131226,-3.157254457473755,-1.5880635520829287,11.588718420329656,0.0,0.034930404275655746
